This is a log message.

Current time: 2023-08-03 02:32:18.084326

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'nHidden1': 256, 'dropout1': 0, 'num_layers1': 2, 'nHidden2': 128, 'dropout2': 0, 'num_layers2': 1, 'activ': 'glu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [64, 128], 'pooling': [1, 1]}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 3000}

loss_plot_flag: True

save_losses: True

save_result: True

Model name: lstmcnn-basic


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220609 to 20221231.

Epoch [77/3000], Trn Loss: 16320.7412, Val Loss: 10365.6172
Epoch [78/3000], Trn Loss: 15786.3535, Val Loss: 15531.0791
Epoch [79/3000], Trn Loss: 14559.2939, Val Loss: 16450.3242
Epoch [80/3000], Trn Loss: 14706.4043, Val Loss: 10700.5664
Epoch [81/3000], Trn Loss: 15564.0742, Val Loss: 18294.9336
Epoch [82/3000], Trn Loss: 15242.1191, Val Loss: 12745.4121
Epoch [83/3000], Trn Loss: 14480.6006, Val Loss: 12876.4541
Epoch [84/3000], Trn Loss: 14419.1768, Val Loss: 17656.6289
Epoch [85/3000], Trn Loss: 14939.7393, Val Loss: 11206.7129
Epoch [86/3000], Trn Loss: 14980.2842, Val Loss: 15781.3379
Epoch [87/3000], Trn Loss: 14363.7666, Val Loss: 14753.4834
Epoch [88/3000], Trn Loss: 14191.0684, Val Loss: 11913.7812
Epoch [89/3000], Trn Loss: 14528.0684, Val Loss: 17998.0410
Epoch [90/3000], Trn Loss: 14832.5986, Val Loss: 11014.9541
Epoch [91/3000], Trn Loss: 14932.6777, Val Loss: 16904.3379
Epoch [92/3000], Trn Loss: 14490.5098, Val Loss: 12967.5801
Epoch [93/3000], Trn Loss: 14110.8535, Val Loss: 13723.8955
Epoch [94/3000], Trn Loss: 14007.4414, Val Loss: 16070.5166
Epoch [95/3000], Trn Loss: 14183.9199, Val Loss: 11579.4688
Epoch [96/3000], Trn Loss: 14495.4863, Val Loss: 18162.7324
Epoch [97/3000], Trn Loss: 14718.3037, Val Loss: 10762.0898
Epoch [98/3000], Trn Loss: 14947.1523, Val Loss: 17874.5020
Epoch [99/3000], Trn Loss: 14617.1943, Val Loss: 11997.4268
Epoch [100/3000], Trn Loss: 14203.3740, Val Loss: 14444.3047
Epoch [101/3000], Trn Loss: 13881.5127, Val Loss: 15568.3848
Epoch [102/3000], Trn Loss: 13981.9756, Val Loss: 11727.3633
Epoch [103/3000], Trn Loss: 14271.9502, Val Loss: 17472.7051
Epoch [104/3000], Trn Loss: 14388.3203, Val Loss: 11570.4902
Epoch [105/3000], Trn Loss: 14310.6885, Val Loss: 15914.6699
Epoch [106/3000], Trn Loss: 13943.2412, Val Loss: 13770.3369
Epoch [107/3000], Trn Loss: 13733.3945, Val Loss: 13012.8096
Epoch [108/3000], Trn Loss: 13791.0898, Val Loss: 16311.5420
Epoch [109/3000], Trn Loss: 13977.6230, Val Loss: 11452.9854
Epoch [110/3000], Trn Loss: 14240.2725, Val Loss: 17878.1348
Epoch [111/3000], Trn Loss: 14385.2412, Val Loss: 10765.5059
Epoch [112/3000], Trn Loss: 14571.0234, Val Loss: 17955.5781
Epoch [113/3000], Trn Loss: 14402.9258, Val Loss: 11475.5439
Epoch [114/3000], Trn Loss: 14151.5742, Val Loss: 15370.9316
Epoch [115/3000], Trn Loss: 13727.1758, Val Loss: 14345.4561
Epoch [116/3000], Trn Loss: 13603.1885, Val Loss: 12321.6895
Epoch [117/3000], Trn Loss: 13784.4395, Val Loss: 17003.3457
Epoch [118/3000], Trn Loss: 14019.9346, Val Loss: 11208.5918
Epoch [119/3000], Trn Loss: 14210.2725, Val Loss: 17049.1738
Epoch [120/3000], Trn Loss: 14007.6104, Val Loss: 12164.9688
Epoch [121/3000], Trn Loss: 13761.8740, Val Loss: 14973.7129
Epoch [122/3000], Trn Loss: 13546.1230, Val Loss: 14092.2705
Epoch [123/3000], Trn Loss: 13460.0820, Val Loss: 13015.6221
Epoch [124/3000], Trn Loss: 13510.3418, Val Loss: 16109.8330
Epoch [125/3000], Trn Loss: 13660.0781, Val Loss: 11436.1846
Epoch [126/3000], Trn Loss: 13927.7090, Val Loss: 18155.1445
Epoch [127/3000], Trn Loss: 14265.6270, Val Loss: 9946.5938
Epoch [128/3000], Trn Loss: 14946.6572, Val Loss: 19772.3887
