This is a log message.

Current time: 2023-08-31 11:41:12.259287

--------------------Hyperparameters--------------------

model: {'seqLeng': 30, 'input_dim': 8, 'output_dim': 1, 'nHidden1': 256, 'dropout1': 0, 'num_layers1': 8, 'nHidden2': 256, 'dropout2': 0, 'num_layers2': 1, 'activ': 'glu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [64, 128], 'pooling': [1, 1], 'nhead': 8, 'd_model': 512}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 3000}

loss_plot_flag: True

save_losses: True

save_result: True

Model name: lstm


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220609 to 20221231.

Epoch [77/3000], Trn Loss: 57116.6641, Val Loss: 18120.2578
Epoch [78/3000], Trn Loss: 56862.9453, Val Loss: 18299.4844
Epoch [79/3000], Trn Loss: 56733.8516, Val Loss: 18491.7793
Epoch [80/3000], Trn Loss: 56505.4609, Val Loss: 18501.3906
Epoch [81/3000], Trn Loss: 56152.0547, Val Loss: 18629.6973
Epoch [82/3000], Trn Loss: 55934.4258, Val Loss: 18702.6582
Epoch [83/3000], Trn Loss: 55738.3672, Val Loss: 18726.4258
Epoch [84/3000], Trn Loss: 55409.7852, Val Loss: 18734.8945
Epoch [85/3000], Trn Loss: 55161.1953, Val Loss: 18810.9961
Epoch [86/3000], Trn Loss: 54882.0664, Val Loss: 18707.0449
Epoch [87/3000], Trn Loss: 54489.1836, Val Loss: 18577.5059
Epoch [88/3000], Trn Loss: 54277.4219, Val Loss: 18571.2500
Epoch [89/3000], Trn Loss: 54024.5430, Val Loss: 18636.3594
Epoch [90/3000], Trn Loss: 53954.4844, Val Loss: 18616.0352
Epoch [91/3000], Trn Loss: 53642.0234, Val Loss: 18589.7949
Epoch [92/3000], Trn Loss: 53473.6836, Val Loss: 18517.5781
Epoch [93/3000], Trn Loss: 53325.0977, Val Loss: 18456.6855
Epoch [94/3000], Trn Loss: 53140.5664, Val Loss: 18391.4629
Epoch [95/3000], Trn Loss: 53027.6094, Val Loss: 18392.1445
Epoch [96/3000], Trn Loss: 52904.3984, Val Loss: 18413.1641
Epoch [97/3000], Trn Loss: 52841.0078, Val Loss: 18203.8027
Epoch [98/3000], Trn Loss: 52637.6484, Val Loss: 18191.2246
Epoch [99/3000], Trn Loss: 52434.6406, Val Loss: 18083.3379
Epoch [100/3000], Trn Loss: 52211.6797, Val Loss: 17845.1895
Epoch [101/3000], Trn Loss: 52003.1719, Val Loss: 17863.5781
Epoch [102/3000], Trn Loss: 52245.7188, Val Loss: 17571.3223
Epoch [103/3000], Trn Loss: 52051.8789, Val Loss: 17339.3770
Epoch [104/3000], Trn Loss: 51859.8164, Val Loss: 17256.9004
Epoch [105/3000], Trn Loss: 52298.4141, Val Loss: 17373.0840
Epoch [106/3000], Trn Loss: 51950.4180, Val Loss: 17633.3105
Epoch [107/3000], Trn Loss: 51678.1914, Val Loss: 17749.1191
Epoch [108/3000], Trn Loss: 51289.5547, Val Loss: 17820.2422
Epoch [109/3000], Trn Loss: 51067.9297, Val Loss: 17844.8145
Epoch [110/3000], Trn Loss: 50903.0195, Val Loss: 18154.0918
Epoch [111/3000], Trn Loss: 50632.4414, Val Loss: 18537.1309
Epoch [112/3000], Trn Loss: 50714.1523, Val Loss: 18931.4727
Epoch [113/3000], Trn Loss: 50810.0977, Val Loss: 19318.7949
Epoch [114/3000], Trn Loss: 51056.8359, Val Loss: 19589.8691
Epoch [115/3000], Trn Loss: 51135.9766, Val Loss: 19695.4180
Epoch [116/3000], Trn Loss: 51142.7344, Val Loss: 18909.8301
Epoch [117/3000], Trn Loss: 50998.8594, Val Loss: 18519.7363
Epoch [118/3000], Trn Loss: 51446.2344, Val Loss: 18348.0586
Epoch [119/3000], Trn Loss: 51751.6133, Val Loss: 18220.0469
Epoch [120/3000], Trn Loss: 51799.5469, Val Loss: 18313.2559
Epoch [121/3000], Trn Loss: 52271.1406, Val Loss: 18390.4551
Epoch [122/3000], Trn Loss: 52395.5430, Val Loss: 18266.8789
Epoch [123/3000], Trn Loss: 52642.4922, Val Loss: 18125.4375
Epoch [124/3000], Trn Loss: 53092.2734, Val Loss: 17928.0996
Epoch [125/3000], Trn Loss: 53503.6055, Val Loss: 17762.1426
Epoch [126/3000], Trn Loss: 53885.4453, Val Loss: 18003.2520
Epoch [127/3000], Trn Loss: 53527.6055, Val Loss: 18371.1328
Epoch [128/3000], Trn Loss: 53100.5547, Val Loss: 18554.6250
Epoch [129/3000], Trn Loss: 52398.3789, Val Loss: 18599.1445
Epoch [130/3000], Trn Loss: 51792.8711, Val Loss: 18577.4141
Epoch [131/3000], Trn Loss: 51220.9492, Val Loss: 18615.3750
Epoch [132/3000], Trn Loss: 51020.7188, Val Loss: 18670.8789
Epoch [133/3000], Trn Loss: 50756.3750, Val Loss: 18897.1230
Epoch [134/3000], Trn Loss: 50816.3555, Val Loss: 19080.5137
Epoch [135/3000], Trn Loss: 50668.8477, Val Loss: 19285.4941
Epoch [136/3000], Trn Loss: 50587.2227, Val Loss: 19479.0996
Epoch [137/3000], Trn Loss: 50362.0352, Val Loss: 19542.2422
Epoch [138/3000], Trn Loss: 50178.5430, Val Loss: 19358.8945
Epoch [139/3000], Trn Loss: 49835.2773, Val Loss: 19436.5723
